"zipcode","latitude","longitude"
"70670-623",-15.8006,-47.9255
"16300-000",-21.4211,-50.0728
"36200-046",-21.2264,-43.774
"85770-000",-25.7803,-53.5436
"18150-000",-23.6521,-47.2213
"72900-000",-15.9436,-48.2551
"13031-440",-22.9204,-47.0853
"15700-000",-20.2682,-50.5489
"84500-000",-25.4691,-50.6496
"48903-440",-9.42452,-40.4984
"51030-300",-8.13145,-34.9037
"52020-380",-8.04084,-34.8948
"85960-000",-24.562,-54.0623
"09220-611",-23.623,-46.5369
"25555-201",-22.776,-43.3627
"12215-280",-23.1791,-45.8872
"13940-000",-22.4797,-46.636
"37860-000",-21.1326,-46.4159
"78780-000",-17.3141,-53.2153
"45200-250",-13.851,-40.0812
"71720-550",-15.8705,-47.9686
"24710-410",-22.8229,-43.0028
"73252-900",-15.6333,-47.8167
"28890-000",-22.4939,-41.9171
"27916-020",-22.3786,-41.7779
"37170-000",-21.0941,-45.5746
"87560-000",-24.0059,-53.7055
"15880-000",-20.9646,-49.0282
"36900-000",-20.2564,-42.0325
"89278-000",-26.4261,-49.2433
"35790-000",-18.7573,-44.4296
"95185-000",-29.3006,-51.5047
"98700-000",-28.3885,-53.912
"78850-000",-15.5798,-54.2289
"13920-000",-22.743,-46.8943
"45260-000",-14.5172,-40.3787
"98640-000",-27.4994,-54.0993
"84950-000",-25.4341,-49.2674
"28909-800",-22.8787,-42.0199
"79602-110",-20.7598,-51.6951
"20775-040",-22.8988,-43.2771
"79490-000",-19.3936,-54.5635
"42700-000",-12.8938,-38.3275
"37500-198",-22.4269,-45.453
"29050-653",-20.3141,-40.307
"29175-520",-20.1065,-40.1785
"25071-182",-22.7919,-43.3031
"20561-130",-22.9227,-43.2649
"83260-000",-25.8189,-48.5414
"79900-000",-22.5311,-55.7299
"13650-000",-21.8281,-47.2514
"13050-153",-23.0069,-47.1363
"88130-101",-27.64,-48.6666
"03221-200",-23.5993,-46.5378
"71625-205",-15.9064,-47.8625
"15950-000",-21.2453,-48.8051
"17380-000",-22.2832,-48.127
"01121-000",-23.53,-46.6361
"78280-000",-15.6692,-58.0853
"24358-000",-22.9638,-43.0489
"24900-000",-22.9184,-42.8185
"28905-000",-22.8807,-42.0226
"28940-000",-22.8362,-42.1037
"24900-000",-22.9191,-42.8183
"28950-000",-22.7744,-41.9151
"28970-000",-22.7727,-43.3416
"24220-381",-22.9011,-43.1025
"85877-000",-25.347,-54.2391
"14902-000",-21.5964,-48.8111
"17300-000",-22.3691,-48.3804
"74140-020",-16.689,-49.2703
"95555-000",-29.7637,-50.0192
"88200-000",-27.2405,-48.6344
"85560-000",-25.8554,-52.5297
"99870-000",-27.7729,-51.5943
"28570-000",-21.6757,-42.0818
"45550-000",-14.1973,-39.5127
"12120-000",-22.9605,-45.5407
"11950-000",-24.7299,-48.1028
"95150-000",-29.4419,-51.1381
"83010-900",-25.5362,-49.1792
"25780-000",-22.153,-42.9253
"25241-390",-22.7855,-43.3079
"14801-340",-21.7919,-48.1797
"99010-022",-28.2583,-52.4052
"95320-000",-28.7814,-51.6076
"73750-010",-15.6023,-47.6477
"17600-100",-21.9384,-50.514
"04534-003",-23.5856,-46.6779
"26383-070",-22.7165,-43.5554
"95150-000",-29.3854,-51.083
"13520-000",-22.5517,-47.9084
"26112-180",-22.7423,-43.4076
"86455-000",-23.4932,-49.907
"07851-071",-23.3228,-46.725
"55125-000",-7.99898,-36.0522
"45996-135",-17.5459,-39.7239
"13460-000",-22.7795,-47.2942
"76808-644",-8.78689,-63.8965
"23970-000",-23.2175,-44.7247
"73900-000",-14.0821,-46.3778
"38660-000",-23.1014,-48.9352
"13240-000",-23.102,-46.728
"26551-210",-22.7819,-43.4284
"87660-000",-22.9354,-52.1399
"17280-000",-22.3171,-49.0481
"96450-000",-30.9801,-54.6743
"99560-000",-27.9486,-52.9296
"65715-000",-4.33397,-45.1685
"64770-000",-9.01506,-42.6973
"24435-001",-22.8274,-43.0584
"88502-001",-27.8212,-50.3247
"78400-970",-14.4031,-56.427
"13025-151",-22.8983,-47.0513
"29830-000",-18.7056,-40.3982
"47803-070",-12.1477,-44.9951
"78550-138",-11.873,-55.4982
"45120-000",-14.8641,-40.5591
"68901-050",0.0344566,-51.0666
"13400-390",-22.7282,-47.6498
"73840-000",-13.0252,-46.7651
"26600-000",-22.6114,-43.7095
"68503-820",-5.3757,-49.1296
"78058-000",-15.5848,-56.0799
"22743-050",-22.9286,-43.3547
"15130-000",-20.8204,-49.5167
"78325-000",-9.17931,-60.6306
"06460-000",-23.4982,-46.8424
"18035-257",-23.5036,-47.4566
"23088-000",-22.8764,-43.5274
"13175-660",-22.8216,-47.2664
"21635-350",-22.8365,-43.4121
"23031-260",-22.9666,-43.6158
"78455-000",-13.0634,-55.921
"53040-000",-7.99358,-34.8431
"14860-000",-21.1907,-48.1619
"78450-000",-13.8385,-56.0808
"65400-000",-4.45494,-43.8789
"65636-970",-4.87467,-43.3469
"65700-000",-4.22156,-44.7821
"35160-117",-19.4901,-42.5266
"65500-970",-3.7405,-43.3593
"16400-106",-21.6741,-49.7587
"90020-001",-30.0322,-51.2365
"96055-710",-31.7444,-52.3338
"35519-000",-19.8785,-44.9844
"21230-500",-22.8311,-43.3236
"13960-000",-22.5981,-46.5304
"88080-700",-27.6129,-48.5838
"25730-735",-22.4042,-43.1354
"70741-620",-15.7519,-47.8973
"35590-000",-20.0217,-45.5421
"30575-210",-19.9767,-43.966
"13190-000",-22.9467,-47.3163
"96506-760",-30.0409,-52.8947
"13260-000",-22.8804,-46.7923
"99200-000",-28.8445,-51.8876
"94480-500",-30.0692,-51.1064
"87600-000",-23.1969,-52.2213
"86975-000",-23.5479,-51.6701
"99030-130",-28.2654,-52.4175
"75600-000",-18.011,-49.3695
"02860-001",-23.4739,-46.6703
"95350-000",-28.6624,-51.7455
"95340-000",-28.725,-51.7043
"05535-000",-23.5822,-46.7323
"49042-190",-10.9095,-37.0748
"44859-80000",-25.48,-49.2379
"22011-010",-22.9622,-43.1752
"07151-110",-23.4062,-46.4513
"13450-028",-22.757,-47.4124
"07080-050",-23.4443,-46.5476
"86039-090",-23.3228,-51.1432
"08011-190",-23.4961,-46.452
"08031-000",-23.5223,-46.4182
"13700-000",-21.7733,-47.0858
"13098-335",-22.9071,-47.0632
"23510-241",-22.9175,-43.6755
"12080-330",-23.0309,-45.5483
"75901-180",-17.7969,-50.9309
"04366-000",-23.6633,-46.6619
"05565-000",-23.5489,-46.6388
"04030-000",-23.4696,-46.6789
"05435-040",-23.5508,-46.6897
"79032-130",-20.43,-54.5725
"13411-083",-22.6775,-47.6815
"22410-001",-22.9844,-43.2016
"37902-314",-20.729,-46.6111
"99840-000",-27.9493,-51.8056
"99150-000",-28.445,-52.2098
"83324-510",-25.4251,-49.1797
"11660-280",-23.6184,-45.4081
"76954-000",-11.9284,-61.9951
"28695-000",-22.6012,-42.7426
"84130-000",-25.4342,-49.9999
"84266-010",-24.3339,-50.6385
"37573-000",-30.89,-55.5401
"24330-280",-22.9377,-43.0261
"91760-020",-30.1323,-51.2333
"24230-162",-22.9072,-43.1102
"86360-000",-23.1104,-50.3684
"24210-430",-22.903,-43.1232
"49898-25000",-26.9619,-52.5352
"68515-000",-6.06665,-49.9017
"75804-062",-17.8928,-51.7151
"22793-320",-22.934,-43.1772
"22290-900",-22.9554,-43.1661
"65725-000",-4.57435,-44.5987
"89120-000",-26.8239,-49.265
"59280-970",-5.86006,-35.3498
"36415-470",-20.4846,-43.8389
"84940-000",-23.6818,-49.8478
"06541-038",-23.4702,-46.8715
"25953-090",-22.4075,-42.9674
"06455-000",-23.4987,-46.8533
"99300-000",-28.8186,-52.5103
"95190-000",-28.97,-51.0697
"95180-000",-29.2246,-51.351
"93180-000",-29.6987,-51.2381
"25620-020",-22.5046,-43.1823
"86061-335",-23.2927,-51.1732
"86055-220",-23.2927,-51.1732
"17800-000",-21.6757,-51.0636
"13830-000",-22.6066,-46.9193
"81730-000",-25.5029,-49.2385
"11250-000",-23.8553,-46.1394
"89010-000",-26.9086,-49.0807
"13333-330",-23.0798,-47.2112
"31310-360",-19.8732,-43.9807
"37440-000",-21.9695,-44.925
"20765-000",-22.8798,-43.2702
"53401-220",-7.94009,-34.8723
"81630-190",-25.4831,-49.2528
"73456-00006",-14.7937,-39.2764
"45654-001",-14.8086,-39.0364
"75690-000",-17.7457,-48.6258
"53030-000",-8.00785,-34.8411
"03949-200",-23.6054,-46.4802
"08311-080",-23.6233,-46.4718
"13040-099",-22.9375,-47.0671
"35010-090",-18.8527,-41.9457
"35930-001",-19.816,-43.1517
"79200-000",-20.4749,-55.7863
"93542-000",-29.6769,-51.0974
"13184-290",-22.8652,-47.2121
"76920-000",-10.7117,-62.255
"13465-280",-22.7407,-47.3308
"98280-000",-28.2901,-53.4909
"18500-000",-23.0503,-47.8363
"96750-000",-30.1186,-51.9637
"11065-101",-23.965,-46.3421
"58700-320",-7.02834,-37.2773
"22050-002",-22.9692,-43.1847
"52200-000",-6.22631,-36.0229
"49740-000",-18.771,-42.9319
"35460-970",-20.1182,-44.201
"36036-330",-21.7722,-43.37
"83501-040",-25.3108,-49.2971
"27600-000",-22.2476,-43.7047
"11740-000",-24.1849,-46.7879
"20730-000",-22.899,-43.2957
"37578-000",-22.4438,-46.3508
"06132-280",-23.5609,-46.7987
"88790-000",-28.4903,-48.7837
"18780-000",-23.0028,-49.3246
"97050-011",-29.6863,-53.8052
"65300-000",-3.68205,-45.3831
"55590-000",-8.43872,-35.0829
"59290-000",-5.77222,-35.263
"64200-380",-2.90561,-41.7769
"21240-190",-22.8084,-43.3295
"36570-000",-20.7568,-42.8803
