"zipcode","latitude","longitude"
"04618-003",-23.6217,-46.6741
"04136-111",-23.6136,-46.6243
"04660-004",-23.6741,-46.6782
"04267-010",-23.597,-46.6102
"08115-000",-23.4949,-46.4078
"08210-100",-23.5405,-46.4533
"04319-020",-23.6456,-46.6391
"05078-000",-23.5256,-46.7145
"02721-030",-23.5028,-46.6732
"02415-000",-23.4753,-46.6315
"04671-070",-23.6601,-46.692
"04165-001",-23.6259,-46.6066
"04524-002",-23.6079,-46.6683
"03149-100",-23.5765,-46.5871
"05717-270",-23.6347,-46.7335
"04004-050",-23.6624,-46.6415
"01414-001",-23.56,-46.6638
"03605-010",-23.5207,-46.5476
"05008-000",-23.5368,-46.6715
"05143-060",-23.4971,-46.7261
"05125-080",-23.5013,-46.7387
"05047-000",-23.526,-46.6896
"03802-000",-23.5054,-46.4883
"02404-000",-23.4917,-46.6269
"04040-002",-23.6022,-46.6399
"04802-190",-23.6827,-46.6902
"01254-000",-23.5423,-46.6818
"03321-000",-23.5486,-46.5696
"02332-001",-23.4738,-46.6186
"02306-002",-23.4709,-46.6059
"03402-003",-23.5517,-46.5305
"03361-000",-23.5728,-46.5342
"02085-100",-23.4951,-46.6118
"05061-150",-23.5407,-46.7028
"02113-010",-23.5235,-46.5936
"02221-000",-23.4856,-46.5786
"03143-003",-23.5904,-46.5726
"14160-005",-21.1385,-47.9956
"35700-000",-19.4586,-44.2449
"78550-000",-11.8577,-55.4984
"18047-620",-23.5263,-47.465
"18040-355",-23.5062,-47.4559
"13170-018",-22.8227,-47.269
"08674-030",-23.5358,-46.3111
"72110-420",-15.8188,-48.0624
"72015-110",-15.8531,-48.0427
"18270-330",-23.3492,-47.8439
"64048-180",-5.07448,-42.7913
"64045-970",-5.08661,-42.7862
"85901-120",-24.7238,-53.7431
"88840-000",-28.5227,-49.3176
"13270-250",-22.9712,-46.9964
"13880-000",-21.8356,-46.8811
"37010-630",-21.5569,-45.4428
"13220-005",-23.2107,-46.8311
"95800-000",-29.6086,-52.1967
"29375-000",-20.3259,-41.136
"95330-000",-28.9408,-51.5485
"29100-041",-20.3345,-40.2836
"13280-000",-23.0301,-46.9756
"29055-290",-20.3038,-40.2971
"27259-350",-22.5249,-44.1037
"77020-558",-10.2213,-48.3221
"97700-000",-29.1723,-54.8566
"98900-000",-27.8709,-54.482
"02611-001",-23.471,-46.651
"13735-080",-21.4708,-47.0006
"13295-000",-23.1522,-47.0577
"21710-230",-22.8781,-43.438
"13230-075",-23.206,-46.7836
"86430-000",-23.2969,-50.0784
"75920-000",-17.823,-50.5883
"25900-000",-22.6567,-43.0398
"98810-680",-28.3043,-54.2629
"04846-000",-23.7392,-46.6916
"03658-010",-23.5489,-46.6388
"73330-010",-15.6167,-47.6667
"21321-620",-22.8984,-43.3527
"95890-000",-29.4679,-51.8115
"93800-000",-29.6407,-51.005
"93260-030",-29.8526,-51.174
"06763-270",-23.6112,-46.7605
"72220-000",-15.8167,-48.1167
"38183-188",-19.594,-46.941
"95600-000",-29.6416,-50.7955
"04045-004",-23.6248,-46.6405
"27700-000",-22.4044,-43.6633
"21380-002",-22.8822,-43.3248
"28470-000",-22.7927,-43.3277
"37501-058",-22.4269,-45.453
"06320-060",-23.5218,-46.8342
"70711-000",-15.7801,-47.9292
"18110-045",-23.5436,-47.4491
"03712-001",-23.5062,-46.5305
"05018-010",-23.5348,-46.6796
"11750-000",-24.3173,-46.9954
"37200-000",-21.2345,-44.9975
"85812-030",-24.9489,-53.4506
"85803-000",-24.9683,-53.4548
"72405-050",-16.0211,-48.0636
"06190-160",-23.5293,-46.7974
"37410-000",-21.7081,-45.2695
"05303-000",-23.5295,-46.7291
"22710-266",-22.9283,-43.3746
"21050-000",-22.8737,-43.2581
"20780-230",-22.8934,-43.2724
"72800-440",-16.2515,-47.9553
"07180-230",-23.4667,-46.4667
"07141-040",-23.4213,-46.5018
"09041-321",-23.6669,-46.5352
"13490-000",-22.4802,-47.4557
"09951-550",-23.6815,-46.5861
"12223-690",-23.1762,-45.8254
"13574-020",-22.0323,-47.8943
"20045-900",-22.9035,-43.2096
"02515-001",-23.5107,-46.659
"88160-000",-27.499,-48.6512
"08410-020",-23.5449,-46.4138
"69055-011",-3.10641,-60.0264
"69020-070",-3.1261,-60.0187
"20551-030",-22.9142,-43.2375
"59300-000",-6.45981,-37.099
"98870-000",-28.0284,-54.3504
"71727-001",-15.856,-47.9466
"88375-000",-26.8965,-48.6461
"09030-320",-23.6655,-46.5265
"72310-148",-15.7801,-47.9292
"09850-310",-23.7208,-46.5692
"76900-053",-10.8808,-61.9419
"76963-731",-11.424,-61.4532
"78320-000",-11.3811,-58.739
"21235-420",-22.8347,-43.3264
"21021-350",-22.8408,-43.2675
"85857-620",-25.5335,-54.5508
"86770-000",-23.0322,-51.8306
"13215-276",-23.1865,-46.8845
"17340-000",-22.498,-48.5515
"05859-000",-23.6605,-46.7678
"38440-072",-18.6542,-48.1927
"93220-190",-29.8281,-51.1443
"26900-000",-22.4651,-43.4655
"12240-540",-23.2199,-45.9109
"89870-000",-26.8371,-52.9868
"38610-000",-16.3608,-46.9029
"87111-260",-23.4464,-51.872
"72546-227",-15.7801,-47.9292
"72110-800",-15.8167,-48.05
"05777-000",-23.6333,-46.7667
"78060-200",-15.6107,-56.0722
"17500-022",-22.2194,-49.9484
"37470-000",-22.1154,-45.051
"15350-000",-20.686,-50.5555
"14270-000",-21.47,-47.3619
"72600-302",-16.0066,-48.082
"71570-800",-15.767,-47.7797
"78890-000",-12.558,-55.7337
"29165-155",-20.1999,-40.2508
"87704-010",-23.0738,-52.4653
"58040-000",-7.11964,-34.8391
"88701-410",-28.4834,-49.0031
"59061-200",-5.82025,-35.2132
"26520-340",-22.8085,-43.4145
"06656-420",-23.5492,-46.9373
"87360-000",-24.1846,-53.0187
"59020-400",-5.7873,-35.2013
"59078-210",-5.79448,-35.211
"11055-330",-23.9618,-46.3314
"59380-000",-6.2613,-36.5161
"88870-000",-28.3686,-49.2856
"09210-630",-23.6343,-46.5319
"13212-210",-23.2276,-46.969
"11900-000",-28.2614,-47.8517
"85950-000",-24.2817,-53.8404
"09390-040",-23.6687,-46.4614
"29090-060",-20.3154,-40.3018
"29190-062",-19.8228,-40.2709
"88750-000",-28.2833,-49.1587
"04813-050",-23.7183,-46.6906
"47850-000",-12.0994,-45.7983
"79004-600",-20.4771,-54.6063
"88830-000",-28.6522,-49.2105
"37550-000",-22.2321,-45.9341
"86200-000",-23.27,-51.0488
"04255-000",-23.6237,-46.5918
"19900-110",-22.9812,-49.8703
"21810-040",-22.8796,-43.4632
"88101-091",-27.5927,-48.6125
"11320-000",-23.9671,-46.3782
"11410-150",-23.995,-46.2599
"18550-000",-23.2854,-47.674
"14015-110",-21.1832,-47.8081
"58038-100",-7.10856,-34.8276
"08576-000",-23.4854,-46.3524
"36400-000",-20.6597,-43.7855
"88020-040",-27.5946,-48.5477
"69301-011",2.8276,-60.6656
