"code","latitude","longitude"
483,-21.8356,-46.8811
485,-21.5569,-45.4428
487,-23.2107,-46.8311
488,-29.6086,-52.1967
489,-20.3259,-41.136
490,-28.9408,-51.5485
491,-20.3345,-40.2836
492,-23.0301,-46.9756
493,-20.3038,-40.2971
494,-22.5249,-44.1037
590,-10.2213,-48.3221
621,-29.1723,-54.8566
633,-27.8709,-54.482
677,-23.471,-46.651
736,-21.4708,-47.0006
739,-23.1522,-47.0577
764,-22.8781,-43.438
785,-23.206,-46.7836
814,-23.2969,-50.0784
930,-17.823,-50.5883
962,-22.6567,-43.0398
966,-28.3043,-54.2629
982,-23.7392,-46.6916
999,-23.5489,-46.6388
1005,-15.6167,-47.6667
1026,-22.8984,-43.3527
1106,-29.4679,-51.8115
1118,-29.6407,-51.005
1130,-29.8526,-51.174
1151,-23.6112,-46.7605
1155,-15.8167,-48.1167
1157,-19.594,-46.941
1219,-29.6416,-50.7955
1262,-23.6248,-46.6405
1265,-22.4044,-43.6633
1280,-22.8822,-43.3248
1288,-22.7927,-43.3277
1297,-22.4269,-45.453
1305,-23.5218,-46.8342
1309,-15.7801,-47.9292
1314,-23.5436,-47.4491
1315,-23.5062,-46.5305
1318,-23.5348,-46.6796
1327,-24.3173,-46.9954
1333,-21.2345,-44.9975
1336,-24.9489,-53.4506
1337,-24.9683,-53.4548
1339,-16.0211,-48.0636
1341,-23.5293,-46.7974
1342,-21.7081,-45.2695
1343,-23.5295,-46.7291
1346,-22.9283,-43.3746
1347,-22.8737,-43.2581
1348,-22.8934,-43.2724
1355,-16.2515,-47.9553
1870,-23.4667,-46.4667
1871,-23.4213,-46.5018
1872,-23.6669,-46.5352
1874,-22.4802,-47.4557
1876,-23.6815,-46.5861
1898,-23.1762,-45.8254
1904,-22.0323,-47.8943
1961,-22.9035,-43.2096
1962,-23.5107,-46.659
1964,-27.499,-48.6512
1967,-23.5449,-46.4138
1975,-3.10641,-60.0264
1976,-3.1261,-60.0187
2014,-22.9142,-43.2375
2016,-6.45981,-37.099
2017,-28.0284,-54.3504
2018,-15.856,-47.9466
2110,-26.8965,-48.6461
2114,-23.6655,-46.5265
2148,-15.7801,-47.9292
2175,-23.7208,-46.5692
2176,-10.8808,-61.9419
2177,-11.424,-61.4532
2181,-11.3811,-58.739
2183,-22.8347,-43.3264
2218,-22.8408,-43.2675
2317,-25.5335,-54.5508
2389,-23.0322,-51.8306
2390,-23.1865,-46.8845
2422,-22.498,-48.5515
2425,-23.6605,-46.7678
2430,-18.6542,-48.1927
2452,-29.8281,-51.1443
